Componente;Marca;Modelo 
;;
27;KSB;CPK 250-500
27;KSB;CPK 200-400
27;KSB;CPK 200-315
27;KSB;MEGACHEM 150-315
27;KSB;MEGACHEM 150-400
27;KSB;MEGACHEM 65-250
27;KSB;MEGACHEM 65-125
27;KSB;MEGACHEM 40-125
27;KSB;RDL 300-340A
27;KSB;RDL V 400-390A
27;KSB;RDL 300-340B
27;KSB;MULTITEC D32/4-21
27;KSB;MEGANORM 80-250
27;KSB;MEGANORM 150-500
27;KSB;MEGANORM 100-250
27;KSB;MTC 125/3.09
27;KSB;AMA PORTER 502
27;KSB;WKL 80/4
27;KSB;MOVITEC VCF 4/14B
27;KSB;MOVITEC VCF 32/9
27;KSB; RDLV 400-390
27;KSB;HDA 150/8
27;SULZER;MSD 6X10X15C 6 ETAPAS
27;SULZER;MSD 8X10X13 AZ 4 ETAPAS
27;SULZER;MSD 8X10X13 BZ 5 ETAPAS
27;SULZER;MSD 8X10X13 BZ 4 ETAPAS
27;SULZER;MSD 8X10X15C 6 ETAPAS
27;SULZER;A31-150
27;SULZER;A33-80
27;SULZER;A53-150
27;SULZER;A21-100
27;SULZER;A31-125
27;SULZER;SMNV 202-450
27;SULZER;SMH 252-400
27;SULZER; AH-50
27;SULZER;ZE 80-3400
27;SULZER; ABS J 205 ND 24/21
27;SULZER;ZE 40-3400
27;FLOWSERVE; 14 M135-3E
27;FLOWSERVE;12 EMM-7
27;FLOWSERVE;15 EHM-11
27;FLOWSERVE;DMX 6X13 4 ETAPAS
27;FLOWSERVE;DMX 6X13 7 ETAPAS
27;FLOWSERVE;DMX 6X11 8 ETAPAS
27;FLOWSERVE;18X16 VIT -FF35BDS
27;GOULDS;MTX 3196 2x3-8
27;GOULDS;XLT 3186
27;GOULDS;3171  2 X 3 - 8
27;GOULDS; LF 3196 1,5 X 3 X 13
27;ITT; VIT 4 ETAPAS FF
27;ITT;24X16 VIT-FF EHXC 38EHC 2 ETAPAS
27;ITT;18X20 VIT-FF DHXC 20CHC 2 ETAPAS
27;ITT;8X13 VIT-FF 4 ETAPAS
27;ITT;24X38 VIT-FF EHXC 38EHC
27;ITT;731 PLUS 3X1,5X11
27;ITT;731 PLUS 6X4X10
27;ITT; 731 PLUS 10X8X15
27;ITT; 731  PLUS 8X6X17
27;ITT; 731 PLUS 4X3X11
27;ITT; PWO 6X8X13
27;ITT;PWO 12X10-17
27;ITT; PWO 8X6X14
27;ITT ;VIT FF 10 X 18 DHXC X 20 CHC / 3
27; ITT;VIT FF 18 X 16
27;ITT; VIT 24 X 28 EHXG  38 EHC
27;FLOWAY;20- MKH
27;FLOWAY;18 TKH
27;WARMAN; 6X4 AH
27;WARMAN; 16X14 TU-AHPP
27;WARMAN; 8 X 6
27;WARMAN;18 X 16
27;WARMAN; 16 X 14
27;WARMAN; SPR 100 VERTICAL
27;GALIGHER; 5000(2 1/2)
27;GALIGHER; 5000(3 1/2)
27;GALIGHER; 5000(6)
27;GALIGHER; 5000(4)
27;AHS;14X12
27;AHS;18X16
27;AHS; 8X8
27;PEERLESS;M12LD
27;INGERSOLL DRESSER;D-1011 3X1,5-10
27;INGERSOLL DRESSER;VTP 8 INCHES
27;WPIL;1000X250 8 ETAPAS
27;NEPTUNO;"VIT NEPTUNO 1 ETAPA (8"")"
27;DURCO;2K 4X3-10RV
27;RUHRPUMPEN;ZMI 480/03
27;GIW;LCC-M100-400.2
27;GIW;LCC-M150-500.3K-GBMI
27;VOGEL;L50 MRS 4 ETAPAS
27;VOGEL;MP 125.1 3 ETAPAS
27;WILFLEY;4X2,5 KPRO
27;VOGT;660 ARS
27;KREBS;RA100-A43-4X4-12
27;VMS;CZ 80-315
27;VOGT; VC-540
27;BOMBATEK ;SM 150
27;FEDCO;MMS 2043
27;FEDCO; MMS-4040
27;FONTAINE; 6''
27;FRIATEC;RCNKU 125-80
27;WERNER; NEPD 200-150-250
27;NEMO; NMO31SY0S1
27;GRUNDFOS;CR32-9-2
27;TSURUMI;GPN3-100 SUMERGIBLE
27;HYOSUNG;HES 80-400
27;FAGGIOLATI; X413R2C1-P80LA5 SUMERGIBLE
27;FONTAINE;BLEUE /15 AM 5U00 SUMERGIBLE
27;TOYO;DPF 20B MT2 SUMERGIBLE
27;FLYGT;3060 HT
27;FLYGT;BS 2750.390
27;FLYGT; HS 5100.211
27;SPP;TC12G
27;AURORA; 481 BF
27;SIHI; NOW BL 3226
27;SIHI;SC 32/26-16
27;MONO;CAE12H1R3/H1
27;METSO; VT-80 C4 HC
27;TSURUMI;80SFQ215 SUMERGIBLE
27;DRAGFLOW; EL35A
27;DRAGFLOW; 35 HP
27;DRAGFLOW; EL 25SB
27;DRAGFLOW; EL 04S LA
27;DRAGFLOW;EL 60SA
28;WARMAN;U005
28;WARMAN;T005
28;WARMAN;D005 D21
28;WARMAN;M24 0005
28;WARMAN;5X4 SRH
28;WARMAN;5X6 AHS
28;WARMAN;G005 IM
28;WARMAN; 4 X 3
28;GIW;LCC-M150-500
28;GIW; 18X18
28;THOMAS;12x14
28;THOMAS;18 X16
28;GIW;LCC 100-400
28;VOGT;VC-540
28;VOGT;VC-528
28;GIW; LCC 150-500
28;ASH;SRH 5 X 4
